Sample File	Sample Name	Run Name	Panel	Marker	Dye	SNP	Allele 1	Allele 2	Size 1	Size 2	Height 1	Height 2	Peak Area 1	Peak Area 2	Data Point 1	Data Point 2	Mutation 1	Mutation 2	AE Comment 1	AE Comment 2	DAC	ADO	AE	OMIT	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	DP	NB	CC	OVL	XTLK	GQ	CV	UD1	UD2	UD3	
frag_079_A09.fsa	MP3-AL-025	20171024	MP3_SP	AinAD101	B		?	137	131.4	137.01	1868	1977	15102.0	11649.0	2253	2287						true	false	false	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0					
frag_071_E09.fsa	MP3-AL-029	20171024	MP3_SP	AinAD101	B		133	141	132.97	141.73	9758	8732	48378.0	44373.0	2257	2308					Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
frag_069_F09.fsa	MP3-AL-030	20171024	MP3_SP	AinAD101	B		129	133	128.48	132.79	8445	8909	47530.0	52447.0	2233	2259					Delete Operation;Delete Operation;Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
frag_068_G10.fsa	MP3-AL-034	20171024	MP3_SP	AinAD101	B		121	133	120.37	132.99	7730	7053	52713.0	50802.0	2193	2270					Delete Operation;Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
frag_076_C10.fsa	MP3-AL-038	20171024	MP3_SP	AinAD101	B		133	137	132.78	136.97	11225	11492	56607.0	66809.0	2248	2273					Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
frag_081_H11.fsa	MP3-AL-041	20171024	MP3_SP	AinAD101	B		121	129	120.36	128.87	14010	13165	82444.0	69328.0	2217	2270					Delete Operation;Delete Operation;Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
frag_085_F11.fsa	MP3-AL-043	20171024	MP3_SP	AinAD101	B		133	137	133.03	137.17	13155	13679	69442.0	81239.0	2283	2308					Delete Operation;Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
frag_087_E11.fsa	MP3-AL-044	20171024	MP3_SP	AinAD101	B		133	141	132.87	141.73	7696	6991	53875.0	46577.0	2299	2351					Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
frag_093_B11.fsa	MP3-AL-047	20171024	MP3_SP	AinAD101	B		133	137	133.02	137.22	10246	11925	52484.0	64931.0	2305	2331					Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
frag_092_C12.fsa	MP3-AL-053	20171024	MP3_SP	AinAD101	B		121	137	120.39	137.2	10050	9852	50186.0	54061.0	2235	2340					Delete Operation;Delete Operation;Delete Operation;Delete Operation;	false	true	false	-4.0	-4.0	-4.0	-1.0	-4.0	-1.0	-1.0	-4.0	-4.0	-1.0	-1.0	-2.0	-2.0	-2.0	-1.0	-4.0	1.0					
